beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-14.83245397313843,-20.082412422144987,-24.91967137403361,3.302954623903297,1.4579251963843725,0.2426733848412024,-14.003943,-19.502486,-24.091673,2.910879,1.124849,0.449853,80.96986541748046,-70.0191421508789,-284.97271728515625,0.5010317302925619,-0.46480563963171295,0.4708822787996102,-0.557846575788614,0.8831682205200195,-69.63918228149414,-61.96015625,-228.4669158935547,0.14221524429134916,0.6056944606994271,0.7828850774980847,0.0,0.0
-14.20261390465979,-16.58002511637145,-22.56424437568645,1.5314469067202965,0.1429349792106814,1.0179646049023103,-14.001746,-17.588851,-23.033729,1.93265,0.353124,0.799467,80.93468780517578,-70.00308837890626,-284.982861328125,0.4971226888123846,-0.46218498064822877,0.4735132376044723,-0.5612836090110523,0.8833185434341431,-70.84696807861329,-48.64764175415039,-228.26620483398438,0.4008382700764615,0.6579819321450187,0.6374860455043843,0.0,0.0
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402477,0.9445505134237308,-14.175612,-17.927795,-23.8133,1.93265,0.953494,0.799781,81.00131072998047,-70.0146469116211,-284.9555908203125,0.4989333142161142,-0.463041207417926,0.4717022512060754,-0.5604956506569826,0.8846138119697571,-72.74910583496094,-46.91373748779297,-227.14028625488282,0.41784624703796613,0.7093183688142027,0.5676900258935729,0.0,0.0
-14.575989864007344,-17.731470705839055,-20.57616547488943,0.5828637888089898,1.544983531678021,0.8690220019779114,-14.104685,-17.851218,-21.284859,0.959442,1.299656,0.800094,80.95631408691406,-69.97115173339844,-284.9652404785156,0.4967064508650565,-0.4611426183859599,0.4742949087225804,-0.561849202844517,0.8778762817382812,-65.04410781860352,-38.50966796875,-232.68537292480468,0.6022667192731693,0.6744217045559993,0.427118441746214,0.0,0.0
-14.31401047166162,-18.72160335743685,-22.920568667680364,2.4966919488001103,2.097605972292393,0.2150396308369651,-14.173415,-18.099777,-22.236098,2.110281,1.732608,0.450481,80.9443130493164,-69.97662811279297,-284.96323852539064,0.4994457344341872,-0.4644884899427819,0.4711255328504436,-0.5593256058527583,0.8805975914001465,-67.1147346496582,-48.01097106933594,-234.06700439453124,-0.06685246310148879,0.7319023669463144,0.6781221670434073,0.0,0.0
-11.530776111662764,-11.959596474431796,-13.369069976551591,0.3570259316505993,0.0151729082322403,0.0420266089906188,-11.759695,-12.959757,-14.482587,0.777102,0.352497,0.267827,80.91754302978515,-70.02963562011719,-285.0420227050781,0.4952494813999513,-0.4664154259562363,0.47148477262399513,-0.5611476728873083,0.8841862082481384,-41.70800704956055,-37.2146713256836,-252.3994354248047,0.4316373858225773,0.6903087171808214,0.5806574223622911,0.0,0.0
-11.5581368605059,-14.924220174646624,-20.888923474305557,2.444242395848389,0.5993861044104093,0.0776567569897956,-11.675902,-14.105576,-19.973648,2.109654,0.436605,0.179012,80.87209625244141,-69.96598510742187,-285.0109497070313,0.49863228210600735,-0.46301927417854444,0.47252044238186086,-0.5600923410583113,0.8902660608291626,-53.58026962280273,-41.163526153564455,-243.511181640625,0.3800895445664714,0.6885919696489899,0.6175540765359553,0.0,0.0
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,-12.184317,-18.012217,-22.235157,1.22024,0.785278,0.361979,80.06932830810547,-69.95340270996094,-284.900439453125,0.4930665178608938,-0.46628808993174914,0.4720165969322223,-0.5627265396023702,1.0429612398147583,-61.771487426757815,-41.05634765625,-229.07321166992188,0.45886068354819554,0.6997267061723955,0.5475668084926377,0.0,0.0
-14.021073231648222,-20.20559450385495,-23.03961518192861,0.2131448854600591,0.242583550685382,1.5490587719591966,-13.309737,-19.324227,-22.569393,0.606375,0.436919,1.243546,80.12872772216797,-70.02473449707031,-284.8781982421875,0.49883546799480405,-0.4616349837366827,0.4720114309744223,-0.5614815461707674,0.8908129930496216,-62.55851287841797,-35.6511344909668,-225.6390594482422,0.6523067540615518,0.7124052050393187,0.25879474963485766,0.0,0.0
-14.778446475469956,-18.71049208892939,-19.546100297656093,2.443826759172401,0.5028302180143431,0.2451088886655329,-13.663745,-19.157265,-20.255787,2.110595,0.43786,0.540552,80.90235595703125,-69.99549407958985,-284.9665466308594,0.49784486897263613,-0.4618021578105135,0.4736637679786427,-0.5608314259948768,0.8779125213623047,-55.52561569213867,-50.68014144897461,-232.59913635253906,0.572116824210802,0.6618371981115168,0.4844108407651952,0.0,0.0
